HG01893-GS000012579-ASM	2efff09c7cc09809bd11fe60b0cb7bd5+52877
HG01898-GS000013210-ASM	be4e25040bf7bb4059d011e7c889a80e+52872
HG01917-GS000012124-ASM	ea698c9f480e35098500df576f7c3b82+52876
HG01918-GS000013461-ASM	6bcc8edf1c8ba8fb93f83cbf252a2ba2+52866
HG01919-GS000013410-ASM	cf923333b32291a32a70eb5951c3ae9d+52864
HG01920-GS000013208-ASM	e6ecdbcf0f57bbfb9a8e9fc4e4d59775+52864
HG01921-GS000012128-ASM	8820d7bd7dfe5788a61a36233cc88ec1+52864
HG01923-GS000013459-ASM	f8d7d259adeb37e6249a57133d798ead+52866
HG01924-GS000013460-ASM	a75db13f38b32101af76c811b822f131+52871
HG01925-GS000013413-ASM	122d7bc2be0fcd1b753e6b7f8e3dd394+52870
HG01926-GS000013203-ASM	0f473e066f655ffafba7e9240b420819+52866
HG01927-GS000013202-ASM	a18a726f96717762a10ba5708b98fba0+52862
HG01928-GS000013201-ASM	6bb0ac7297167de2b713a1a859aff9f8+52867
HG01932-GS000012136-ASM	84758f889fb2914927592b4a8ce24e92+52874
HG01933-GS000012137-ASM	d05546ad369e2318aff483fba9fafedb+52874
HG01934-GS000012138-ASM	21a31d03dd14c9edecd648adeeeb8a11+52877
HG01935-GS000012139-ASM	aed9abcd39c8056fc3f418f44c01e666+52876
HG01936-GS000013433-ASM	594cfc23337faabf1bc98baa1e0d261f+52869
HG01937-GS000013199-ASM	d2fde7bc817e089db7bcec82bdc0390f+52875
HG01938-GS000013425-ASM	d527a797cf8f7635915ba923e4601ee9+52866
HG01939-GS000013197-ASM	0fa6112e3dccb10f5b3b91efdf95d738+52870
HG01940-GS000012144-ASM	509b4803dac3bd7c9fad9b55694a891b+52862
HG01941-GS000012145-ASM	06819e4348ae91696b32713ae7824d27+52871
HG01942-GS000012146-ASM	305470716398e3ed8739b54919a79c81+52862
HG01943-GS000012147-ASM	7a4d5f6913429ed4d29b4f3f7b3bf902+52869
HG01944-GS000012148-ASM	9cae863b8d0563e3c3a3f1b21ba60cb1+52868
HG01945-GS000012149-ASM	4db280948bb27f29c73228e3db7d7043+52860
HG01946-GS000016667-ASM	e9b41026ab2c6dfbba314b1ebf2ff409+52872
HG01950-GS000012150-ASM	9b8845b1837d5c1a1bfa546436198b71+52868
HG01951-GS000012151-ASM	0f6216f5de0bd4f3767f243459f0255b+52860
HG01952-GS000013196-ASM	583ee1d9adae74e2ef0f3c53f8776dc1+52865
HG01953-GS000013195-ASM	781e26b7040e59927733054ca76fff0c+52869
HG01954-GS000013458-ASM	5bea49e6a6777ac0a2295661488f80c3+52858
HG01955-GS000013457-ASM	877ff028c52fa7cead5525e99e7c6e39+52862
HG01967-GS000013456-ASM	31df066a78afbbfd314f0d8564788d3c+52870
HG01968-GS000017246-ASM	34dd2002cebea7fb674958f489d90522+52860
